Food,l_class,NA,K,CA,MG,P,FE,ZN,CU,MN
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,1.0,440.0,13.0,8.0,19.0,50.0,0.7,0.7,0.13,0.33
こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,1.0,470.0,76.0,12.0,18.0,73.0,1.0,1.0,0.0,0.0
こむぎ　［ふ類］　生ふ,1.0,7.0,30.0,13.0,18.0,60.0,1.0,2.0,0.0,1.0
こむぎ　［ふ類］　焼きふ　釜焼きふ,1.0,6.0,120.0,33.0,43.0,130.0,3.0,2.0,0.0,0.0
こむぎ　［ふ類］　焼きふ　板ふ,1.0,190.0,220.0,31.0,90.0,220.0,5.0,3.0,0.0,2.0
こむぎ　［ふ類］　焼きふ　車ふ,1.0,110.0,130.0,25.0,53.0,130.0,4.0,3.0,0.0,1.0
こむぎ　［ふ類］　油ふ,1.0,22.0,71.0,19.0,28.0,95.0,2.0,1.0,0.0,1.0
こむぎ　［その他］　小麦はいが,1.0,3.0,1100.0,42.0,310.0,1100.0,9.0,16.0,1.0,0.0
こむぎ　［その他］　小麦たんぱく　粉末状,1.0,60.0,90.0,75.0,75.0,180.0,7.0,5.0,1.0,3.0
こむぎ　［その他］　小麦たんぱく　粒状,1.0,36.0,3.0,14.0,16.0,54.0,2.0,1.0,0.0,1.0
こむぎ　［その他］　小麦たんぱく　ペースト状,1.0,230.0,39.0,30.0,54.0,160.0,3.0,2.0,0.0,2.0
こむぎ　［その他］　かやきせんべい,1.0,970.0,150.0,19.0,27.0,110.0,1.0,1.0,0.0,1.0
こむぎ　［その他］　ぎょうざの皮　生,1.0,2.0,64.0,16.0,18.0,60.0,1.0,1.0,0.0,0.0
こむぎ　［その他］　しゅうまいの皮　生,1.0,2.0,72.0,16.0,17.0,60.0,1.0,1.0,0.1,0.0
こむぎ　［その他］　春巻きの皮　生,1.0,440.0,77.0,13.0,13.0,54.0,0.0,0.0,0.0,0.0
こむぎ　［その他］　春巻きの皮　揚げ,1.0,370.0,66.0,11.0,11.0,48.0,0.0,0.0,0.0,0.2
こむぎ　［その他］　ピザ生地,1.0,510.0,91.0,13.0,22.0,77.0,1.0,1.0,0.0,0.5
こむぎ　［その他］　ちくわぶ,1.0,1.0,3.0,8.0,6.0,31.0,1.0,0.0,0.0,0.0
こむぎ　［その他］　パン粉　生,1.0,350.0,110.0,25.0,29.0,97.0,1.0,1.0,0.0,0.0
こむぎ　［その他］　パン粉　半生,1.0,400.0,130.0,28.0,34.0,110.0,1.0,1.0,0.0,1.0
こむぎ　［その他］　パン粉　乾燥,1.0,460.0,150.0,33.0,39.0,130.0,1.0,1.0,0.2,1.0
こむぎ　［その他］　冷めん　生,1.0,530.0,59.0,11.0,12.0,57.0,0.0,0.0,0.0,0.0
こめ　［水稲穀粒］　玄米,1.0,1.0,230.0,9.0,110.0,290.0,2.0,2.0,0.0,2.0
こめ　［水稲穀粒］　半つき米,1.0,1.0,150.0,7.0,64.0,210.0,2.0,2.0,0.0,1.4
こめ　［水稲穀粒］　七分つき米,1.0,1.0,120.0,6.0,45.0,180.0,1.0,2.0,0.0,1.0
こめ　［水稲穀粒］　精白米　うるち米,1.0,1.0,89.0,5.0,23.0,95.0,1.0,1.0,0.0,1.0
こめ　［水稲穀粒］　精白米　もち米,1.0,0.0,97.0,5.0,33.0,100.0,0.0,2.0,0.0,1.3
こめ　［水稲穀粒］　精白米　インディカ米,1.0,1.0,68.0,5.0,18.0,90.0,1.0,2.0,0.2,1.0
こめ　［水稲穀粒］　はいが精米,1.0,1.0,150.0,7.0,51.0,150.0,1.0,2.0,0.0,2.0
こめ　［水稲穀粒］　発芽玄米,1.0,3.0,160.0,13.0,120.0,280.0,1.0,2.0,0.0,2.0
こめ　［水稲穀粒］　赤米,1.0,2.0,290.0,12.0,130.0,350.0,1.0,2.0,0.0,2.5
こめ　［水稲穀粒］　黒米,1.0,1.0,270.0,15.0,110.0,310.0,1.0,2.0,0.0,4.0
こめ　［水稲めし］　玄米,1.0,1.0,95.0,7.0,49.0,130.0,1.0,1.0,0.0,1.0
こめ　［水稲めし］　半つき米,1.0,1.0,43.0,4.0,22.0,53.0,0.0,1.0,0.0,0.6
こめ　［水稲めし］　七分つき米,1.0,1.0,35.0,4.0,13.0,44.0,0.0,1.0,0.0,0.0
こめ　［水稲めし］　精白米　インディカ米,1.0,0.0,31.0,2.0,8.0,41.0,0.0,1.0,0.1,0.0
こめ　［水稲めし］　精白米　うるち米,1.0,1.0,29.0,3.0,7.0,34.0,0.0,1.0,0.1,0.0
こめ　［水稲めし］　精白米　もち米,1.0,0.0,28.0,2.0,5.0,19.0,0.0,1.0,0.0,0.5
こめ　［水稲めし］　はいが精米,1.0,1.0,51.0,5.0,24.0,68.0,0.0,1.0,0.1,1.0
こめ　［水稲めし］　発芽玄米,1.0,1.0,68.0,6.0,53.0,130.0,0.0,1.0,0.0,1.0
こめ　［水稲めし］　赤米,1.0,1.0,120.0,5.0,55.0,150.0,1.0,1.0,0.0,1.0
こめ　［水稲めし］　黒米,1.0,0.0,130.0,7.0,55.0,150.0,0.0,1.0,0.0,2.0
こめ　［水稲軟めし］　精白米,1.0,1.0,20.0,3.0,5.0,24.0,0.1,0.4,0.08,0.25
こめ　［水稲全かゆ］　玄米,1.0,1.0,41.0,3.0,21.0,55.0,0.2,0.3,0.05,0.44
こめ　［水稲全かゆ］　半つき米,1.0,0.0,18.0,2.0,9.0,23.0,0.1,0.3,0.05,0.26
こめ　［水稲全かゆ］　七分つき米,1.0,0.0,15.0,2.0,6.0,19.0,0.1,0.3,0.04,0.19
こめ　［水稲全かゆ］　精白米,1.0,0.0,12.0,1.0,3.0,14.0,0.0,0.3,0.04,0.15
こめ　［水稲五分かゆ］　玄米,1.0,0.0,20.0,1.0,10.0,28.0,0.1,0.2,0.03,0.22
こめ　［水稲五分かゆ］　半つき米,1.0,0.0,9.0,1.0,5.0,11.0,0.0,0.2,0.02,0.13
こめ　［水稲五分かゆ］　七分つき米,1.0,0.0,8.0,1.0,3.0,9.0,0.0,0.1,0.02,0.1
こめ　［水稲五分かゆ］　精白米,1.0,0.0,6.0,1.0,1.0,7.0,0.0,0.1,0.02,0.08
こめ　［水稲おもゆ］　玄米,1.0,0.0,12.0,1.0,6.0,16.0,0.1,0.1,0.01,0.13
こめ　［水稲おもゆ］　半つき米,1.0,0.0,5.0,1.0,3.0,7.0,0.0,0.1,0.01,0.08
こめ　［水稲おもゆ］　七分つき米,1.0,0.0,4.0,1.0,2.0,5.0,0.0,0.1,0.01,0.06
こめ　［水稲おもゆ］　精白米,1.0,0.0,4.0,0.0,1.0,4.0,0.0,0.1,0.01,0.04
こめ　［陸稲穀粒］　玄米,1.0,1.0,230.0,9.0,110.0,290.0,2.0,2.0,0.0,2.0
こめ　［陸稲穀粒］　半つき米,1.0,1.0,150.0,7.0,64.0,210.0,2.0,2.0,0.0,1.0
こめ　［陸稲穀粒］　七分つき米,1.0,1.0,120.0,6.0,45.0,180.0,1.0,2.0,0.0,1.0
こめ　［陸稲穀粒］　精白米,1.0,1.0,89.0,5.0,23.0,95.0,1.0,1.0,0.0,1.0
こめ　［陸稲めし］　玄米,1.0,1.0,95.0,7.0,49.0,130.0,1.0,1.0,0.0,1.0
こめ　［陸稲めし］　半つき米,1.0,1.0,43.0,4.0,22.0,53.0,0.0,1.0,0.0,0.0
こめ　［陸稲めし］　七分つき米,1.0,1.0,35.0,4.0,13.0,44.0,0.0,1.0,0.0,0.0
こめ　［陸稲めし］　精白米,1.0,1.0,29.0,3.0,7.0,34.0,0.0,1.0,0.1,0.0
