Food,l_class,NA,K,CA,MG,P,FE,ZN,CU,MN
＜魚類＞　（いわし類）　たたみいわし,10.0,850.0,790.0,970.0,190.0,1400.0,3.0,7.0,0.0,0.0
＜魚類＞　（いわし類）　みりん干し　かたくちいわし,10.0,1100.0,420.0,800.0,73.0,660.0,4.0,4.0,0.0,0.0
＜魚類＞　（いわし類）　みりん干し　まいわし,10.0,670.0,290.0,240.0,54.0,360.0,4.0,2.0,0.0,0.0
＜魚類＞　（いわし類）　缶詰　水煮,10.0,330.0,250.0,320.0,44.0,360.0,3.0,1.0,0.0,0.0
＜魚類＞　（いわし類）　缶詰　味付け,10.0,560.0,240.0,370.0,38.0,380.0,2.0,2.0,0.0,0.0
＜魚類＞　（いわし類）　缶詰　トマト漬,10.0,280.0,310.0,360.0,35.0,320.0,2.0,2.0,0.0,0.0
＜魚類＞　（いわし類）　缶詰　油漬,10.0,320.0,280.0,350.0,36.0,370.0,1.0,2.0,0.2,0.0
＜魚類＞　（いわし類）　缶詰　かば焼,10.0,610.0,270.0,220.0,31.0,290.0,2.0,1.0,0.0,0.0
＜魚類＞　（いわし類）　缶詰　アンチョビ,10.0,5200.0,140.0,150.0,39.0,180.0,3.0,4.0,0.0,0.0
＜魚類＞　いわな　養殖　生,10.0,49.0,380.0,39.0,29.0,260.0,0.0,1.0,0.0,0.0
＜魚類＞　うぐい　生,10.0,83.0,340.0,69.0,27.0,240.0,1.0,3.0,0.0,0.0
＜魚類＞　うなぎ　養殖　生,10.0,74.0,230.0,130.0,20.0,260.0,1.0,1.0,0.0,0.0
＜魚類＞　うなぎ　きも　生,10.0,140.0,200.0,19.0,15.0,160.0,5.0,3.0,1.0,0.0
＜魚類＞　うなぎ　白焼き,10.0,100.0,300.0,140.0,18.0,280.0,1.0,2.0,0.0,0.0
＜魚類＞　うなぎ　かば焼,10.0,510.0,300.0,150.0,15.0,300.0,1.0,3.0,0.0,0.0
＜魚類＞　うまづらはぎ　生,10.0,210.0,320.0,50.0,87.0,160.0,0.0,1.0,0.0,0.0
＜魚類＞　うまづらはぎ　味付け開き干し,10.0,2400.0,310.0,190.0,84.0,370.0,2.0,2.0,0.1,0.1
＜魚類＞　えい　生,10.0,270.0,110.0,4.0,18.0,170.0,1.0,1.0,0.0,0.0
＜魚類＞　えそ　生,10.0,120.0,380.0,80.0,36.0,260.0,0.0,0.0,0.0,0.0
＜魚類＞　おいかわ　生,10.0,48.0,240.0,45.0,23.0,210.0,1.0,3.0,0.0,0.0
＜魚類＞　おおさが　生,10.0,71.0,310.0,16.0,22.0,160.0,0.0,0.0,0.0,0.0
＜魚類＞　おこぜ　生,10.0,85.0,360.0,31.0,26.0,200.0,0.0,1.0,0.0,0.0
＜魚類＞　おひょう　生,10.0,72.0,400.0,7.0,28.0,260.0,0.0,1.0,0.0,0.0
＜魚類＞　かさご　生,10.0,120.0,310.0,57.0,27.0,180.0,0.0,1.0,0.0,0.0
＜魚類＞　かじか　生,10.0,110.0,260.0,520.0,31.0,400.0,3.0,2.0,0.0,0.0
＜魚類＞　かじか　水煮,10.0,90.0,210.0,630.0,40.0,440.0,3.0,2.0,0.0,0.0
＜魚類＞　かじか　つくだ煮,10.0,1700.0,460.0,880.0,59.0,670.0,6.0,3.0,0.0,2.0
＜魚類＞　（かじき類）　くろかじき　生,10.0,70.0,390.0,5.0,34.0,260.0,1.0,1.0,0.0,0.0
＜魚類＞　（かじき類）　まかじき　生,10.0,65.0,380.0,5.0,35.0,270.0,1.0,1.0,0.0,0.0
＜魚類＞　（かじき類）　めかじき　生,10.0,71.0,440.0,3.0,29.0,260.0,1.0,1.0,0.0,0.0
＜魚類＞　（かじき類）　めかじき　焼き,10.0,110.0,630.0,5.0,41.0,370.0,1.0,1.0,0.0,0.0
＜魚類＞　（かつお類）　かつお　春獲り　生,10.0,43.0,430.0,11.0,42.0,280.0,2.0,1.0,0.0,0.0
＜魚類＞　（かつお類）　かつお　秋獲り　生,10.0,38.0,380.0,8.0,38.0,260.0,2.0,1.0,0.1,0.0
＜魚類＞　（かつお類）　そうだがつお　生,10.0,81.0,350.0,23.0,33.0,230.0,3.0,1.0,0.0,0.0
＜魚類＞　（かつお類）　加工品　なまり,10.0,110.0,300.0,11.0,32.0,300.0,4.0,1.0,0.0,0.0
＜魚類＞　（かつお類）　加工品　なまり節,10.0,95.0,630.0,20.0,40.0,570.0,5.0,1.0,0.2,0.0
＜魚類＞　（かつお類）　加工品　裸節,10.0,310.0,780.0,15.0,76.0,570.0,7.0,2.0,0.0,0.0
＜魚類＞　（かつお類）　加工品　かつお節,10.0,130.0,940.0,28.0,70.0,790.0,6.0,3.0,0.0,0.0
＜魚類＞　（かつお類）　加工品　削り節,10.0,480.0,810.0,46.0,91.0,680.0,9.0,3.0,0.0,0.0
＜魚類＞　（かつお類）　加工品　削り節つくだ煮,10.0,3100.0,410.0,54.0,69.0,290.0,8.0,1.0,0.0,0.0
＜魚類＞　（かつお類）　加工品　角煮,10.0,1500.0,290.0,10.0,40.0,220.0,6.0,1.0,0.0,0.0
＜魚類＞　（かつお類）　加工品　塩辛,10.0,5000.0,130.0,180.0,37.0,150.0,5.0,12.0,0.0,0.0
＜魚類＞　（かつお類）　缶詰　味付け　フレーク,10.0,650.0,280.0,29.0,30.0,190.0,3.0,1.0,0.0,0.0
＜魚類＞　（かつお類）　缶詰　油漬　フレーク,10.0,350.0,230.0,5.0,23.0,160.0,1.0,1.0,0.0,0.0
＜魚類＞　かます　生,10.0,120.0,320.0,41.0,34.0,140.0,0.0,1.0,0.0,0.0
＜魚類＞　かます　焼き,10.0,150.0,360.0,59.0,42.0,190.0,1.0,1.0,0.0,0.0
＜魚類＞　（かれい類）　まがれい　生,10.0,110.0,330.0,43.0,28.0,200.0,0.0,1.0,0.0,0.0
＜魚類＞　（かれい類）　まがれい　水煮,10.0,100.0,320.0,56.0,29.0,200.0,0.0,1.0,0.0,0.0
＜魚類＞　（かれい類）　まがれい　焼き,10.0,130.0,370.0,70.0,32.0,240.0,0.0,1.0,0.0,0.0
＜魚類＞　（かれい類）　まこがれい　生,10.0,120.0,320.0,46.0,24.0,190.0,0.0,1.0,0.0,0.0
＜魚類＞　（かれい類）　まこがれい　焼き,10.0,180.0,490.0,75.0,39.0,300.0,1.0,1.0,0.0,0.0
＜魚類＞　（かれい類）　子持ちがれい　生,10.0,77.0,290.0,20.0,27.0,200.0,0.0,1.0,0.0,0.0
＜魚類＞　（かれい類）　子持ちがれい　水煮,10.0,83.0,270.0,40.0,28.0,210.0,0.0,1.0,0.0,0.0
＜魚類＞　（かれい類）　干しかれい,10.0,430.0,280.0,40.0,29.0,170.0,0.0,0.0,0.0,0.0
＜魚類＞　かわはぎ　生,10.0,110.0,380.0,13.0,28.0,240.0,0.0,0.0,0.0,0.0
＜魚類＞　かんぱち　三枚おろし　生,10.0,65.0,490.0,15.0,34.0,270.0,1.0,1.0,0.0,0.0
＜魚類＞　かんぱち　背側　生,10.0,54.0,470.0,6.0,29.0,250.0,0.0,0.0,0.0,0.0
＜魚類＞　きす　生,10.0,100.0,340.0,27.0,29.0,180.0,0.0,0.0,0.0,0.0
＜魚類＞　きす　天ぷら,10.0,110.0,330.0,90.0,31.0,210.0,0.0,1.0,0.0,0.0
＜魚類＞　きちじ　生,10.0,75.0,250.0,32.0,32.0,130.0,0.0,0.0,0.0,0.0
＜魚類＞　きびなご　生,10.0,150.0,330.0,100.0,34.0,240.0,1.0,2.0,0.1,0.0
＜魚類＞　きびなご　調味干し,10.0,2600.0,660.0,1400.0,170.0,1200.0,6.0,1.0,0.0,0.0
＜魚類＞　キャビア　塩蔵品,10.0,1600.0,200.0,8.0,30.0,450.0,2.0,3.0,0.0,0.0
＜魚類＞　キングクリップ　生,10.0,140.0,340.0,47.0,28.0,170.0,0.0,1.0,0.0,0.0
＜魚類＞　ぎんだら　生,10.0,74.0,340.0,15.0,26.0,180.0,0.0,0.0,0.0,0.0
＜魚類＞　ぎんだら　水煮,10.0,63.0,280.0,15.0,25.0,150.0,0.0,0.0,0.0,0.0
＜魚類＞　きんめだい　生,10.0,59.0,330.0,31.0,73.0,490.0,0.0,0.0,0.0,0.0
＜魚類＞　ぐち　生,10.0,95.0,260.0,37.0,28.0,140.0,0.0,1.0,0.0,0.0
＜魚類＞　ぐち　焼き,10.0,140.0,330.0,51.0,34.0,180.0,1.0,1.0,0.0,0.0
＜魚類＞　こい　養殖　生,10.0,49.0,340.0,9.0,22.0,180.0,1.0,1.0,0.0,0.0
＜魚類＞　こい　養殖　水煮,10.0,47.0,330.0,13.0,22.0,180.0,1.0,2.0,0.0,0.0
＜魚類＞　こい　養殖　内臓　生,10.0,95.0,240.0,9.0,19.0,130.0,3.0,7.0,0.0,0.1
＜魚類＞　（こち類）　まごち　生,10.0,110.0,450.0,51.0,33.0,260.0,0.0,1.0,0.0,0.0
＜魚類＞　（こち類）　めごち　生,10.0,160.0,280.0,40.0,30.0,160.0,0.0,1.0,0.0,0.0
＜魚類＞　このしろ　生,10.0,160.0,370.0,190.0,27.0,230.0,1.0,1.0,0.0,0.0
＜魚類＞　このしろ　甘酢漬,10.0,890.0,120.0,160.0,16.0,170.0,2.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　からふとます　生,10.0,64.0,400.0,13.0,29.0,260.0,0.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　からふとます　焼き,10.0,85.0,520.0,20.0,41.0,370.0,1.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　からふとます　塩ます,10.0,2300.0,310.0,27.0,34.0,250.0,0.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　からふとます　水煮缶詰,10.0,360.0,300.0,110.0,36.0,320.0,2.0,1.0,0.1,0.0
＜魚類＞　（さけ・ます類）　ぎんざけ　養殖　生,10.0,48.0,350.0,12.0,25.0,290.0,0.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　ぎんざけ　養殖　焼き,10.0,61.0,460.0,16.0,34.0,320.0,0.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　さくらます　生,10.0,53.0,390.0,15.0,28.0,260.0,0.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　さくらます　焼き,10.0,71.0,520.0,26.0,38.0,370.0,1.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　しろさけ　生,10.0,66.0,350.0,14.0,28.0,240.0,1.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　しろさけ　水煮,10.0,63.0,340.0,19.0,29.0,250.0,1.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　しろさけ　焼き,10.0,82.0,440.0,19.0,35.0,310.0,1.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　しろさけ　新巻き　生,10.0,1200.0,380.0,28.0,29.0,230.0,1.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　しろさけ　新巻き　焼き,10.0,830.0,480.0,44.0,36.0,300.0,2.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　しろさけ　塩ざけ,10.0,720.0,320.0,16.0,30.0,270.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　しろさけ　イクラ,10.0,910.0,210.0,94.0,95.0,530.0,2.0,2.0,1.0,0.0
＜魚類＞　（さけ・ます類）　しろさけ　すじこ,10.0,1900.0,180.0,62.0,80.0,490.0,3.0,2.0,1.0,0.0
＜魚類＞　（さけ・ます類）　しろさけ　めふん,10.0,5800.0,300.0,35.0,28.0,220.0,7.0,2.0,0.0,0.0
＜魚類＞　（さけ・ます類）　しろさけ　水煮缶詰,10.0,230.0,290.0,190.0,34.0,310.0,0.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　しろさけ　サケ節　削り節,10.0,300.0,840.0,51.0,81.0,620.0,2.0,2.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　生,10.0,43.0,370.0,9.0,27.0,240.0,0.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　水煮,10.0,40.0,330.0,12.0,27.0,230.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　蒸し,10.0,49.0,360.0,10.0,28.0,250.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　電子レンジ調理,10.0,47.0,380.0,8.0,29.0,260.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　焼き,10.0,55.0,460.0,17.0,34.0,310.0,0.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　ソテー,10.0,55.0,450.0,10.0,33.0,300.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　天ぷら,10.0,66.0,410.0,27.0,26.0,240.0,0.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　生,10.0,43.0,380.0,5.0,28.0,250.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　水煮,10.0,39.0,350.0,5.0,28.0,240.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　蒸し,10.0,49.0,360.0,13.0,29.0,250.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　電子レンジ調理,10.0,47.0,400.0,6.0,30.0,270.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　焼き,10.0,52.0,440.0,5.0,31.0,280.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　ソテー,10.0,54.0,450.0,7.0,34.0,300.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　天ぷら,10.0,62.0,390.0,27.0,25.0,230.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　にじます　海面養殖　皮つき　生,10.0,64.0,390.0,13.0,28.0,250.0,0.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　にじます　海面養殖　皮なし　生,10.0,50.0,420.0,8.0,29.0,250.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　にじます　海面養殖　皮つき　焼き,10.0,68.0,490.0,22.0,55.0,350.0,0.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　にじます　淡水養殖　皮つき　生,10.0,50.0,370.0,24.0,28.0,240.0,0.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　べにざけ　生,10.0,57.0,380.0,10.0,31.0,260.0,0.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　べにざけ　焼き,10.0,72.0,490.0,16.0,39.0,340.0,1.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　べにざけ　くん製,10.0,1500.0,250.0,19.0,20.0,240.0,1.0,1.0,0.0,0.0
＜魚類＞　（さけ・ます類）　ますのすけ　生,10.0,38.0,380.0,18.0,28.0,250.0,0.0,0.0,0.0,0.0
＜魚類＞　（さけ・ます類）　ますのすけ　焼き,10.0,48.0,520.0,30.0,33.0,330.0,0.0,1.0,0.0,0.0
＜魚類＞　（さば類）　まさば　生,10.0,110.0,330.0,6.0,30.0,220.0,1.0,1.0,0.0,0.0
＜魚類＞　（さば類）　まさば　水煮,10.0,94.0,280.0,7.0,29.0,210.0,1.0,1.0,0.0,0.0
＜魚類＞　（さば類）　まさば　焼き,10.0,120.0,370.0,10.0,34.0,280.0,2.0,1.0,0.0,0.0
＜魚類＞　（さば類）　まさば　フライ,10.0,130.0,310.0,14.0,30.0,210.0,1.0,1.0,0.0,0.0
＜魚類＞　（さば類）　ごまさば　生,10.0,66.0,420.0,12.0,33.0,260.0,2.0,1.0,0.0,0.0
＜魚類＞　（さば類）　ごまさば　水煮,10.0,56.0,350.0,13.0,31.0,240.0,2.0,1.0,0.0,0.0
＜魚類＞　（さば類）　ごまさば　焼き,10.0,88.0,540.0,19.0,46.0,350.0,2.0,1.0,0.0,0.0
＜魚類＞　（さば類）　ごまさば　さば節,10.0,370.0,1100.0,860.0,140.0,1200.0,7.0,8.0,0.0,0.0
＜魚類＞　（さば類）　たいせいようさば　生,10.0,99.0,320.0,7.0,28.0,210.0,1.0,1.0,0.0,0.0
＜魚類＞　（さば類）　たいせいようさば　水煮,10.0,96.0,280.0,9.0,27.0,210.0,1.0,1.0,0.0,0.0
＜魚類＞　（さば類）　たいせいようさば　焼き,10.0,120.0,390.0,12.0,33.0,260.0,1.0,1.0,0.0,0.0
＜魚類＞　（さば類）　加工品　塩さば,10.0,720.0,300.0,27.0,35.0,200.0,2.0,1.0,0.0,0.0
＜魚類＞　（さば類）　加工品　開き干し,10.0,680.0,300.0,25.0,25.0,200.0,2.0,1.0,0.0,0.0
＜魚類＞　（さば類）　加工品　しめさば,10.0,640.0,200.0,9.0,24.0,160.0,1.0,0.0,0.0,0.0
＜魚類＞　（さば類）　缶詰　水煮,10.0,340.0,260.0,260.0,31.0,190.0,2.0,2.0,0.0,0.0
＜魚類＞　（さば類）　缶詰　みそ煮,10.0,430.0,250.0,210.0,29.0,250.0,2.0,1.0,0.0,0.0
＜魚類＞　（さば類）　缶詰　味付け,10.0,530.0,260.0,180.0,35.0,300.0,2.0,1.0,0.0,0.0
＜魚類＞　（さめ類）　あぶらつのざめ　生,10.0,100.0,450.0,6.0,19.0,200.0,1.0,0.0,0.0,0.0
＜魚類＞　（さめ類）　よしきりざめ　生,10.0,210.0,290.0,5.0,19.0,150.0,0.0,1.0,0.0,0.0
＜魚類＞　（さめ類）　ふかひれ,10.0,180.0,3.0,65.0,94.0,36.0,1.0,3.0,0.0,0.0
＜魚類＞　さより　生,10.0,190.0,290.0,41.0,37.0,190.0,0.0,2.0,0.0,0.0
＜魚類＞　さわら　生,10.0,65.0,490.0,13.0,32.0,220.0,1.0,1.0,0.0,0.0
＜魚類＞　さわら　焼き,10.0,90.0,610.0,22.0,36.0,310.0,1.0,1.0,0.0,0.0
＜魚類＞　さんま　皮つき　生,10.0,140.0,200.0,28.0,28.0,180.0,1.0,1.0,0.0,0.0
＜魚類＞　さんま　皮なし　生,10.0,120.0,200.0,15.0,25.0,160.0,1.0,1.0,0.0,0.0
＜魚類＞　さんま　皮つき　焼き,10.0,130.0,260.0,37.0,30.0,220.0,2.0,1.0,0.0,0.0
＜魚類＞　さんま　開き干し,10.0,500.0,260.0,60.0,28.0,140.0,1.0,1.0,0.0,0.0
＜魚類＞　さんま　みりん干し,10.0,1400.0,370.0,120.0,50.0,250.0,2.0,1.0,0.0,0.0
＜魚類＞　さんま　缶詰　味付け,10.0,540.0,160.0,280.0,37.0,350.0,2.0,1.0,0.0,0.0
＜魚類＞　さんま　缶詰　かば焼,10.0,600.0,250.0,250.0,37.0,260.0,3.0,0.0,0.0,0.0
＜魚類＞　しいら　生,10.0,50.0,480.0,13.0,31.0,250.0,1.0,1.0,0.0,0.0
＜魚類＞　（ししゃも類）　ししゃも　生干し　生,10.0,490.0,380.0,330.0,48.0,430.0,2.0,2.0,0.1,0.0
＜魚類＞　（ししゃも類）　ししゃも　生干し　焼き,10.0,640.0,400.0,360.0,57.0,540.0,2.0,2.0,0.0,0.0
＜魚類＞　（ししゃも類）　からふとししゃも　生干し　生,10.0,590.0,200.0,350.0,55.0,360.0,1.0,2.0,0.0,0.0
＜魚類＞　（ししゃも類）　からふとししゃも　生干し　焼き,10.0,770.0,210.0,380.0,65.0,450.0,2.0,2.0,0.0,0.0
＜魚類＞　したびらめ　生,10.0,140.0,310.0,36.0,31.0,160.0,0.0,1.0,0.0,0.0
＜魚類＞　しまあじ　養殖　生,10.0,53.0,390.0,16.0,29.0,250.0,1.0,1.0,0.0,0.0
＜魚類＞　しらうお　生,10.0,170.0,250.0,150.0,39.0,270.0,0.0,1.0,0.0,0.0
＜魚類＞　シルバー　生,10.0,85.0,440.0,11.0,31.0,220.0,1.0,1.0,0.0,0.0
＜魚類＞　すずき　生,10.0,81.0,370.0,12.0,29.0,210.0,0.0,1.0,0.0,0.0
＜魚類＞　（たい類）　きだい　生,10.0,73.0,390.0,23.0,30.0,210.0,0.0,0.0,0.0,0.0
＜魚類＞　（たい類）　くろだい　生,10.0,59.0,400.0,13.0,36.0,250.0,0.0,1.0,0.0,0.0
＜魚類＞　（たい類）　ちだい　生,10.0,75.0,390.0,33.0,32.0,230.0,1.0,0.0,0.0,0.0
＜魚類＞　（たい類）　まだい　天然　生,10.0,55.0,440.0,11.0,31.0,220.0,0.0,0.0,0.0,0.0
＜魚類＞　（たい類）　まだい　養殖　皮つき　生,10.0,52.0,450.0,12.0,32.0,240.0,0.0,1.0,0.0,0.0
＜魚類＞　（たい類）　まだい　養殖　皮つき　水煮,10.0,50.0,440.0,20.0,29.0,220.0,0.0,1.0,0.0,0.0
＜魚類＞　（たい類）　まだい　養殖　皮つき　焼き,10.0,55.0,500.0,24.0,32.0,260.0,0.0,1.0,0.0,0.0
＜魚類＞　（たい類）　まだい　養殖　皮なし　生,10.0,43.0,490.0,7.0,33.0,260.0,0.0,0.0,0.0,0.0
＜魚類＞　たかさご　生,10.0,48.0,510.0,51.0,36.0,290.0,1.0,1.0,0.0,0.0
＜魚類＞　たかべ　生,10.0,120.0,380.0,41.0,34.0,210.0,1.0,1.0,0.0,0.0
＜魚類＞　たちうお　生,10.0,88.0,290.0,12.0,29.0,180.0,0.0,1.0,0.0,0.0
＜魚類＞　（たら類）　すけとうだら　生,10.0,100.0,350.0,13.0,24.0,180.0,0.0,1.0,0.0,0.0
＜魚類＞　（たら類）　すけとうだら　フライ,10.0,140.0,340.0,34.0,27.0,190.0,0.0,1.0,0.0,0.0
＜魚類＞　（たら類）　すけとうだら　すり身,10.0,120.0,130.0,7.0,21.0,130.0,0.0,0.0,0.0,0.0
＜魚類＞　（たら類）　すけとうだら　すきみだら,10.0,7400.0,540.0,130.0,54.0,340.0,2.0,0.0,0.0,0.0
＜魚類＞　（たら類）　すけとうだら　たらこ　生,10.0,1800.0,300.0,24.0,13.0,390.0,1.0,3.0,0.0,0.0
＜魚類＞　（たら類）　すけとうだら　たらこ　焼き,10.0,2100.0,340.0,27.0,15.0,470.0,1.0,4.0,0.1,0.0
＜魚類＞　（たら類）　すけとうだら　からしめんたいこ,10.0,2200.0,180.0,23.0,11.0,290.0,1.0,3.0,0.0,0.0
＜魚類＞　（たら類）　まだら　生,10.0,110.0,350.0,32.0,24.0,230.0,0.0,1.0,0.0,0.0
＜魚類＞　（たら類）　まだら　焼き,10.0,140.0,480.0,48.0,33.0,280.0,0.0,1.0,0.0,0.0
＜魚類＞　（たら類）　まだら　しらこ　生,10.0,110.0,390.0,6.0,23.0,430.0,0.0,1.0,0.0,0.0
＜魚類＞　（たら類）　まだら　塩だら,10.0,790.0,290.0,23.0,22.0,170.0,0.0,0.0,0.0,0.0
＜魚類＞　（たら類）　まだら　干しだら,10.0,1500.0,1600.0,80.0,89.0,840.0,0.0,2.0,0.0,0.0
＜魚類＞　（たら類）　加工品　でんぶ,10.0,1600.0,120.0,260.0,31.0,220.0,1.0,1.0,0.0,0.0
＜魚類＞　（たら類）　加工品　桜でんぶ,10.0,930.0,43.0,300.0,17.0,180.0,0.0,1.0,0.0,0.0
＜魚類＞　ちか　生,10.0,250.0,340.0,35.0,41.0,240.0,0.0,1.0,0.0,0.0
＜魚類＞　どじょう　生,10.0,96.0,290.0,1100.0,42.0,690.0,6.0,3.0,0.0,0.0
＜魚類＞　どじょう　水煮,10.0,100.0,330.0,1200.0,47.0,750.0,6.0,3.0,0.0,0.0
＜魚類＞　とびうお　生,10.0,64.0,320.0,13.0,37.0,340.0,1.0,1.0,0.0,0.0
＜魚類＞　とびうお　煮干し,10.0,610.0,1200.0,1200.0,170.0,1300.0,2.0,3.0,0.2,0.1
＜魚類＞　とびうお　焼き干し,10.0,690.0,1100.0,3200.0,200.0,2300.0,3.0,5.0,0.0,0.0
＜魚類＞　ナイルティラピア　生,10.0,60.0,370.0,29.0,24.0,180.0,1.0,0.0,0.0,0.0
＜魚類＞　なまず　生,10.0,46.0,320.0,18.0,23.0,170.0,0.0,1.0,0.0,0.0
＜魚類＞　にぎす　生,10.0,190.0,320.0,70.0,27.0,220.0,0.0,0.0,0.0,0.0
＜魚類＞　にしん　生,10.0,110.0,350.0,27.0,33.0,240.0,1.0,1.0,0.0,0.0
＜魚類＞　にしん　身欠きにしん,10.0,170.0,430.0,66.0,38.0,290.0,2.0,1.0,0.1,0.0
＜魚類＞　にしん　開き干し,10.0,360.0,350.0,25.0,33.0,260.0,2.0,1.0,0.0,0.0
＜魚類＞　にしん　くん製,10.0,3900.0,280.0,150.0,36.0,400.0,4.0,1.0,0.0,0.0
＜魚類＞　にしん　かずのこ　生,10.0,320.0,210.0,50.0,34.0,140.0,1.0,2.0,0.0,0.0
＜魚類＞　にしん　かずのこ　乾,10.0,1400.0,46.0,65.0,150.0,500.0,2.0,5.0,0.0,0.0
＜魚類＞　にしん　かずのこ　塩蔵　水戻し,10.0,480.0,2.0,8.0,4.0,94.0,0.0,1.0,0.0,0.0
＜魚類＞　はぜ　生,10.0,93.0,350.0,42.0,27.0,190.0,0.0,1.0,0.0,0.1
＜魚類＞　はぜ　つくだ煮,10.0,2200.0,480.0,1200.0,73.0,820.0,12.0,3.0,0.0,1.2
＜魚類＞　はぜ　甘露煮,10.0,1500.0,200.0,980.0,58.0,650.0,4.0,3.0,0.0,1.0
＜魚類＞　はたはた　生,10.0,180.0,250.0,60.0,18.0,120.0,1.0,1.0,0.0,0.0
＜魚類＞　はたはた　生干し,10.0,510.0,240.0,17.0,23.0,180.0,0.0,1.0,0.0,0.0
＜魚類＞　はまふえふき　生,10.0,80.0,450.0,43.0,29.0,250.0,0.0,1.0,0.0,0.0
＜魚類＞　はも　生,10.0,66.0,450.0,79.0,29.0,280.0,0.0,1.0,0.0,0.0
＜魚類＞　ひらまさ　生,10.0,47.0,450.0,12.0,36.0,300.0,0.0,1.0,0.0,0.0
＜魚類＞　ひらめ　天然　生,10.0,46.0,440.0,22.0,26.0,240.0,0.0,0.0,0.0,0.0
＜魚類＞　ひらめ　養殖　皮つき　生,10.0,43.0,440.0,30.0,30.0,240.0,0.0,1.0,0.0,0.0
＜魚類＞　ひらめ　養殖　皮なし　生,10.0,41.0,470.0,8.0,31.0,230.0,0.0,0.0,0.0,0.0
＜魚類＞　（ふぐ類）　とらふぐ　養殖　生,10.0,100.0,430.0,6.0,25.0,250.0,0.0,1.0,0.0,0.0
＜魚類＞　（ふぐ類）　まふぐ　生,10.0,83.0,470.0,5.0,24.0,260.0,0.0,2.0,0.0,0.0
＜魚類＞　ふな　生,10.0,30.0,340.0,100.0,23.0,160.0,2.0,2.0,0.0,0.0
＜魚類＞　ふな　水煮,10.0,46.0,310.0,140.0,24.0,230.0,2.0,2.0,0.0,0.0
＜魚類＞　ふな　甘露煮,10.0,1300.0,240.0,1200.0,58.0,710.0,7.0,5.0,0.0,1.0
＜魚類＞　ふな　ふなずし,10.0,1500.0,64.0,350.0,20.0,240.0,1.0,3.0,0.0,0.0
＜魚類＞　ぶり　成魚　生,10.0,32.0,380.0,5.0,26.0,130.0,1.0,1.0,0.0,0.0
＜魚類＞　ぶり　成魚　焼き,10.0,40.0,440.0,6.0,28.0,170.0,2.0,1.0,0.1,0.0
＜魚類＞　ぶり　はまち　養殖　皮つき　生,10.0,38.0,340.0,19.0,29.0,210.0,1.0,1.0,0.0,0.0
