NO,Food,l_class,REFUSE,ENERC,ENERC_KCAL,WATER,PROTCAA,PROT-,FATNLEA,CHOLE,FAT-,CHOAVLM,CHOAVL,CHOAVLDF-,FIB-,POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB,TOCPHG,TOCPHD,VITK ,THIA,RIBF,NIA,NE,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,ALC,NACL_EQ
467,あしたば　茎葉　ゆで,6,0,118,28,90,-2.1,3,-,0,0,-,-,2,5,-,7,-,1,43,390,58,20,51,1,0,0,1,-,-,-,-,0,0,5200,0,5200,440,0,3,Tr,1,0,380,0,0,1,-1.5,0.1,0,75,0,-,23,-,0
468,アスパラガス　若茎　生,6,20,87,21,93,2,3,-0.2,Tr,0,2,2,3,2,-,4,0,1,2,270,19,9,60,1,1,0.1,0,1,0,0,2,0,5,370,9,380,31,0,2,Tr,0,0,43,0,0,1,1,0,0,190,1,2,15,-,0
469,アスパラガス　若茎　ゆで,6,0,107,25,92,-1.8,3,-0.1,Tr,0,-2.3,-2.3,3,2,-,5,-,1,2,260,19,12,61,1,1,0,0,-,-,-,-,0,2,360,8,370,30,0,2,0,0,0,46,0,0,1,-1.5,0,0,180,1,-,16,-,0
470,アスパラガス　若茎　油いため,6,0,225,54,88,-2,3,-3.7,(Tr),4,-2.3,-2.3,3,2,-,4,-,1,3,310,21,10,66,1,1,0,0,-,-,-,-,0,4,370,11,380,31,0,2,Tr,1,0,48,0,0,1,-1.7,0,0,220,1,-,14,-,0
471,アスパラガス　水煮缶詰,6,0,102,24,92,-1.6,2,-0.1,0,0,-2.3,-2.3,3,2,-,4,-,1,350,170,21,7,41,1,0,0,0,-,-,-,-,0,0,7,0,7,1,0,0,0,0,0,4,0,0,1,-1.6,0,0,15,0,-,11,-,1
472,アロエ　葉　生,6,30,11,3,99,-,0,-,0,0,-,-,0,0,-,1,-,0,8,43,56,4,2,0,0,Tr,0,-,-,-,-,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-,1,-,Tr
473,いんげんまめ　さやいんげん　若ざや　生,6,3,97,23,92,1,2,-0.1,Tr,0,2,2,3,2,-,5,0,1,1,260,48,23,41,1,0,0,0,0,Tr,1,34,0,140,520,0,590,49,0,0,0,0,0,60,0,0,1,1,0,0,50,0,4,8,-,0
474,いんげんまめ　さやいんげん　若ざや　ゆで,6,0,106,25,92,-1.2,2,-0.2,Tr,0,-2.4,-2.3,3,3,-,6,0,1,1,270,57,22,43,1,0,0,0,-,-,-,-,0,150,500,0,580,48,0,0,0,0,0,51,0,0.1,1,-0.8,0,0,53,0,-,6,-,0
475,（うど類）　うど　茎　生,6,35,78,19,94,-0.8,1,-,0,0,-,-,3,1,-,4,-,0,Tr,220,7,9,25,0,0,0,0,Tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,-0.7,0,0,19,0,1,4,-,0
476,（うど類）　うど　茎　水さらし,6,0,54,13,96,-0.6,1,-,0,0,-,-,2,2,-,3,-,0,Tr,200,6,8,23,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,-0.6,0,0,19,0,-,3,-,0
477,（うど類）　やまうど　茎　生,6,35,79,19,94,-1,1,-,0,0,-,-,3,2,-,4,-,1,1,270,11,13,31,0,0,0,0,-,-,-,-,0,0,2,0,2,Tr,0,0,0,0,0,3,0,0,1,-0.8,0,0,20,0,-,5,-,0
478,うるい　葉　生,6,4,78,19,93,2,2,0,0,0,1,1,1,3,-,4,-,1,1,390,40,14,52,1,1,0,1,1,1,0,4,0,58,1900,13,1900,160,0,1,Tr,0,0,160,0,0,1,1,0.1,0,120,0,3,50,-,0
479,えだまめ　生,6,45,524,125,72,10,12,6,0,6,5,4,6,5,-,9,-,2,1,590,58,62,170,3,1,0,1,0,1,1,240,0,42,240,7,260,22,0,1,0,7,3,30,0,0,2,4,0,0,320,1,11,27,-,0
480,えだまめ　ゆで,6,50,494,118,72,-9.8,12,6,0,6,-4.6,-4.3,6,5,-,9,-,1,2,490,76,72,170,3,1,0,1,-,-,-,-,0,48,260,8,290,24,0,1,0,6,2,33,0,0,1,-3.5,0,0,260,0,-,15,-,0
481,えだまめ　冷凍,6,50,597,143,67,-11.1,13,7,0,8,5,5,6,7,-,11,-,2,5,650,76,76,190,3,1,0,1,2,2,0,190,0,22,170,4,180,15,0,1,0,8,4,28,0,0,2,-4.5,0,0,310,1,9,27,-,0
482,エンダイブ　葉　生,6,15,56,14,95,-0.9,1,-0.1,0,0,-,-,1,2,-,3,-,1,35,270,51,19,30,1,0,0,1.1,-,-,-,-,0,0,1700,0,1700,140,0,1,Tr,1,0,120,0,0,0,-0.4,0,0,90,0,-,7,-,0
483,（えんどう類）　トウミョウ　茎葉　生,6,0,117,28,91,-2.2,4,-,0,0,-,-,2,3,-,4,-,1,7,350,34,22,61,1,0,0,1,-,-,-,-,0,0,4100,0,4100,340,0,3,Tr,0,0,280,0,0,1,-1.6,0,0,91,0.8,-,79,-,Tr
484,（えんどう類）　トウミョウ　芽ばえ　生,6,0,113,27,92,-2.2,4,-,0,0,-,-,3,2,-,3,-,0,1,130,7,13,47,1,1,0.1,0,-,-,-,-,0,2,3000,17,3100,250,0,2,0,Tr,0,210,0,0,1,-1.3,0,0,120,0,-,43,-,0
485,（えんどう類）　トウミョウ　芽ばえ　ゆで,6,0,116,28,92,-2.1,4,-,0,1,-,-,2,4,-,4,-,0,1,73,8,13,41,1,0,0,0,-,-,-,-,0,2,4800,23,4800,400,0,3,0,0,0,300,0.1,0,0,-0.8,0,0,51,0,-,14,-,0
486,（えんどう類）　トウミョウ　芽ばえ　油いため,6,0,350,84,84,-2.9,5,-,(Tr),6,-,-,3,3,-,4,-,1,2,170,8,17,62,1,1,0,0,-,-,-,-,0,2,4400,23,4400,370,0,4,0,3,0,300,0,0,1,-1.8,0,0,180,0.6,-,30,-,0
487,（えんどう類）　さやえんどう　若ざや　生,6,9,160,38,89,2,3,-0.2,0,0,4,4,6,3,-,8,-,1,1,200,35,24,63,1,1,0.1,0.4,Tr,0,0,24,0,0,560,4,560,47,0,1,0,0,0,47,0,0,1,1,0,0,73,1,5,60,-,0
488,（えんどう類）　さやえんどう　若ざや　ゆで,6,0,152,36,89,-1.8,3,-0.2,0,0,-4,-3.9,5,3,-,7,-,1,1,160,36,23,61,1,1,0,0,-,-,-,-,0,0,580,4,580,48,0,1,0,0,0,40,0,0.1,1,-1,0,0,56,0,-,44,-,0
489,（えんどう類）　スナップえんどう　若ざや　生,6,5,198,47,87,-1.6,3,-0.1,0,0,-5.9,-5.7,9,3,-,10,-,1,1,160,32,21,62,1,0,0,0,-,-,-,-,0,2,400,4,400,34,0,0,0,0,0,33,0,0,1,-1.1,0,0,53,0,-,43,-,0
490,（えんどう類）　グリンピース　生,6,0,317,76,77,5,7,0,0,0,13,12,10,8,-,15,0,1,1,340,23,37,120,2,1,0,0,0,1,0,65,0,11,410,6,420,35,0,0,0,3,0,27,0,0,3,4,0,0,76,1,6,19,-,0
491,（えんどう類）　グリンピース　ゆで,6,0,417,99,72,-5.9,8,-0.1,0,0,-15.2,-13.9,12,9,-,19,0,1,3,340,32,39,80,2,1,0,1,-,-,-,-,0,7,430,6,440,36,0,0,0,3,0,31,0,0,2,-3.3,0,0,70,1,-,16,-,0
492,（えんどう類）　グリンピース　冷凍,6,0,334,80,76,5,6,1,0,1,11,11,9,9,-,17,0,1,9,240,27,31,110,2,1,0,0,0,1,1,77,0,18,430,1,440,36,0,Tr,0,2,Tr,27,0,0,2,3,0,0,77,0,5,20,-,Tr
493,（えんどう類）　グリンピース　冷凍　ゆで,6,0,344,82,75,5,6,1,0,1,12,11,9,10,-,18,0,1,8,210,29,32,110,2,1,0,0,0,1,1,60,0,18,490,2,500,41,0,Tr,0,2,0,29,0,0,2,3,0,0,68,0,5,13,-,Tr
494,（えんどう類）　グリンピース　冷凍　油いため,6,0,474,114,70,5,6,4,Tr,5,12,11,11,9,-,18,0,1,10,260,28,33,110,2,1,0,0,0,1,1,74,0,18,460,2,470,39,0,1,0,3,Tr,34,0,0,2,3,0,0,81,0,6,16,-,Tr
495,（えんどう類）　グリンピース　水煮缶詰,6,0,344,82,75,-2.6,4,-0.2,0,0,-11.8,-10.9,14,7,-,20,0,1,330,37,33,18,82,2,1,0,0.3,-,-,-,-,0,0,200,0,200,17,0,0,0,2,0,19,0,0,1,-1.7,0,0,10,1,-,0,-,1
496,おおさかしろな　葉　生,6,6,50,12,95,-1.1,1,-0.1,0,0,-,-,1,2,-,2,-,1,22,400,150,21,52,1,1,0,0,-,-,-,-,0,0,1300,0,1300,110,0,1,Tr,0,0,190,0,0,1,-0.9,0,0,150,0,-,28,-,0
497,おおさかしろな　葉　ゆで,6,6,68,16,94,-1.2,2,-0.1,0,0,-,-,2,2,-,3,-,1,20,240,140,15,46,1,1,0,0,-,-,-,-,0,0,1500,0,1500,130,0,2,0,0,0,240,0,0,0,-0.6,0,0,86,0,-,24,-,0
498,おおさかしろな　塩漬,6,9,78,19,91,-1,1,-0.1,0,0,-,-,2,3,-,5,-,3,620,380,130,21,52,1,1,0,0,-,-,-,-,0,0,1300,0,1300,110,0,2,0,0,0,340,0,0,1,-0.9,0,0,88,0,-,38,-,2
499,おかひじき　茎葉　生,6,6,67,16,93,-,1,-,0,0,-,-,1,3,-,3,-,2,56,680,150,51,40,1,1,0.1,1,-,-,-,-,0,0,3300,0,3300,280,0,1,Tr,0,0,310,0,0,1,1,0,0,93,0,-,21,-,0
500,おかひじき　茎葉　ゆで,6,0,64,16,93,-,1,-,0,0,-,-,1,3,-,4,-,2,66,510,150,48,34,1,1,0.1,1,-,-,-,-,0,0,3200,0,3200,260,0,1,Tr,0,0,360,0,0.1,0,1,0,0,85,0,-,15,-,0
501,オクラ　果実　生,6,15,107,26,90,2,2,-0.1,Tr,0,2,2,2,5,-,7,0,1,4,260,92,51,58,1,1,0,0,Tr,Tr,1,4,0,2,670,1,670,56,0,1,0,0,0,71,0,0,1,1,0.1,0,110,0,6,11,-,0
502,オクラ　果実　ゆで,6,15,121,29,89,-1.5,2,-0.1,Tr,0,-2.1,-2.1,3,5,-,8,0,1,4,280,90,51,56,1,1,0,0,-,-,-,-,0,0,720,0,720,60,0,1,0,0,0,75,0,0,1,-1.2,0,0,110,0,-,7,-,0
503,かぶ　葉　生,6,30,82,20,92,-2,2,-0.1,0,0,-,-,1,3,-,4,-,1,24,330,250,25,42,2,0,0.1,1,6,3,2,16,0,0,2800,41,2800,230,0,3,0,0,0,340,0,0,1,-1.7,0,0,110,0,3,82,-,0
504,かぶ　葉　ゆで,6,30,83,20,92,-2,2,-0.1,0,0,-,-,1,4,-,4,-,1,18,180,190,14,47,2,0,0,0,-,-,-,-,0,0,3200,46,3200,270,0,3,0,0,0,370,0,0,0,-1,0,0,66,0,-,47,-,Tr
505,かぶ　根　皮つき　生,6,9,74,18,94,1,1,-0.1,0,0,3,3,3,2,-,5,0,1,5,280,24,8,28,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,48,0,-,19,-,0
506,かぶ　根　皮つき　ゆで,6,0,77,18,94,-0.6,1,-0.1,0,0,-3.1,-3.1,3,2,-,5,0,1,6,310,28,10,32,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8,0,0,49,0,-,16,-,0
507,かぶ　根　皮なし　生,6,15,78,19,94,1,1,-0.1,0,0,4,4,4,1,-,5,0,1,5,250,24,8,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,49,0,1,18,-,0
508,かぶ　根　皮なし　ゆで,6,0,82,20,94,-0.5,1,-0.1,0,0,-3.6,-3.6,3,2,-,5,0,1,4,250,28,9,26,0,0,0,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.6,0,0,56,0,-,16,-,0
509,かぶ　漬物　塩漬　葉,6,20,114,27,88,-2,2,-0.1,0,0,-,-,3,4,-,6,-,4,910,290,240,32,46,3,0,0,0,-,-,-,-,0,0,1200,38,1200,100,0,3,0,0,0,360,0,0,1,-1.8,1.1,0,78,0,-,44,-,2
510,かぶ　漬物　塩漬　根　皮つき,6,0,90,21,91,-0.8,1,-0.1,0,0,-,-,3,2,-,5,-,3,1100,310,48,11,36,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.9,0,0,48,0,-,19,-,3
511,かぶ　漬物　塩漬　根　皮なし,6,0,79,19,89,-0.7,1,-0.1,0,0,-,-,3,2,-,5,-,5,1700,400,33,14,38,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.1,0,58,0,-,21,-,4
512,かぶ　漬物　ぬかみそ漬　葉,6,20,145,35,84,-,3,-,0,0,-,-,3,4,-,7,-,6,1500,540,280,65,81,2,0,0,0.4,-,-,-,-,0,0,1600,37,1600,140,0,4,0,0,0,260,0,0,5,5,0,0,81,1,-,49,-,4
513,かぶ　漬物　ぬかみそ漬　根　皮つき,6,0,112,27,90,-,2,-,0,0,-,-,4,2,-,6,-,3,860,500,57,29,44,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,Tr,0,0,3,3,0,0,74,0,-,28,-,2
514,かぶ　漬物　ぬかみそ漬　根　皮なし,6,0,129,31,84,-,1,-,0,0,-,-,5,2,-,7,-,8,2700,740,26,68,76,0,0,0,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,70,1,-,20,-,7
515,（かぼちゃ類）　日本かぼちゃ　果実　生,6,9,175,41,87,1,2,Tr,0,0,8,8,9,3,-,11,-,1,1,400,20,15,42,1,0,0,0.1,Tr,Tr,0,2,0,49,700,3,730,60,0,2,0,3,0,26,0,0,1,1,0,0,80,0.5,2,16,-,0
516,（かぼちゃ類）　日本かぼちゃ　果実　ゆで,6,0,212,50,84,-1.3,2,Tr,0,0,-9.9,-9.4,10,4,-,13,-,1,1,480,24,15,50,1,0,0,0,-,-,-,-,0,45,810,2,830,69,0,2,0,4,0,27,0,0,1,-1.1,0,0,75,0.5,-,16,-,0
517,（かぼちゃ類）　西洋かぼちゃ　果実　生,6,10,331,78,76,1,2,0,0,0,17,16,18,4,-,21,0,1,1,450,15,25,43,1,0,0,0,Tr,1,0,5,0,17,3900,90,4000,330,0,5,0,1,0,25,0,0,2,2,0,0,42,1,2,43,-,0
